name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
incremental factory,2024-01-29,8945,8.99,62413.0,18.361914687260576,76,indie,significant steak,significant steak,2449430
frogmonster,2024-04-02,3920,19.99,62346.0,7.469643702002446,0,indie,ben jungwirth,ben jungwirth,1853760
space for sale,2024-07-30,4309,19.99,62334.0,2.571875686202304,62,indie,mirage game studios,mirage game studios,1624060
bloody heaven 2,2024-05-11,15453,4.99,62317.0,2.607953214827291,87,indie,shanegame,shanegame,2816940
wishful journey:love across time,2024-04-24,7540,9.99,62138.0,4.065350388485396,91,indie,hillhouse holdings limited,hillhouse holdings limited,2867510
transpile girl rescue operation!,2024-02-29,9467,7.99,62059.0,2.067723377769677,81,indie,"mango party,mango party news",backflip wildcat,2613010
charming hearts,2024-06-13,8239,9.99,61946.0,6.750066937296435,88,indie,坤舆科技,"坤舆科技,一冉影视",2817140
mad world  - age of darkness - mmorpg,2024-01-25,16540,0.0,61737.0,19.2830024831735,46,indie,jandisoft,jandisoft,771580
just crow things,2024-08-15,3701,19.99,61496.0,3.30811829010812,96,indie,unbound creations,unbound creations,2537920
college bowl,2024-06-20,3168,24.99,61396.0,18.181356254688936,90,indie,super pixel games,super pixel games,1226160
the emperor and state,2024-07-26,5274,14.99,61289.0,11.86235961578673,55,indie,hawthorn games,涂途,2716930
ants took my eyeball,2024-04-19,4411,16.99,61223.0,9.037092241039142,93,indie,bosmic forge,bosmic forge,1627890
zoo simulator,2024-07-26,3737,19.99,61087.0,3.273604542454089,79,indie,"games incubator,playway s.a.",games incubator,2129220
lagoon lounge 2 : the secret roommate,2024-01-26,5279,13.99,61068.0,3.1306831969792213,99,indie,kaijyu-09,kaijyu-09,2754340
失乐星图nornium,2024-08-09,67552,0.0,60846.0,2.1780584672619385,15,indie,flaring cloister,flaring cloister,2877160
firefighter connor,2024-04-30,8216,8.99,60731.0,2.242095780909892,94,indie,xsspace,xsspace,2384920
stepmom: milf scandal 💖,2024-04-06,8747,9.99,60707.0,1.6881789681934547,74,indie,lust desires 🖤,lust desires 🖤,2879480
fossilfuel 2,2024-02-19,3536,19.99,60574.0,3.4051538698366484,83,indie,dangerousbob studio llc,dangerousbob studio llc,2299660
